nomeUnidade,classification
"0POSSE - 1ª VARA (CÍVEL, CRIMINAL %u2013 CRIMES EM GERAL E EXECUÇÕES PENAIS, DA INFÂNCIA E DA JUVENTUDE)"," %u2013 | criminal  | juventude | geral | crimes,execucoes | infancia,penais | civel | vara"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - EUCLIDES DA CUNHA"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - CICERO DANTAS"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1RA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - CRUZ DAS ALMAS"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - SEABRA"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - LUIS EDUARDO MAGALHÃES"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - RUY BARBOSA"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - CAMPO FORMOSO"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - IPIAU"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - JEREMOABO"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - GANDU"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor"
"1ª VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - RIBEIRA DO POMBAL"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor,vara"
"1ª VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - ITABERABA"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | consumidor,vara"
"1º VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | vara"
"1ª VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - POCOES"," acidente | registro,relativos  | feitos,publico | relacoes,trabalho | comerciais | consumo | civeis | vara"
"JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA DA COMARCA DE AÇU", acu | criminal  | publica | comarca | especial | fazenda | civel | juizado
Juizado de Violência Doméstica e Familiar contra a Mulher e Crimes contra a Criança e o Adolescente da Comarca de Joinville," adolescente | familiar  | mulher | comarca | crimes,domestica | violencia | contra,contra | juizado"
VARA DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER DA COMARCA DE CABO DE SANTO AGOSTINHO, agostinho | familiar  | mulher | comarca | domestica | violencia | contra | vara
CEJUSC Pré Processual Alagoinhas, alagoinhas | solucao  | judicial | conflitos | cidadania | pre | processual | centro
"2ª Vara dos Feitos Relativos às Relações de Consumo, Cíveis, Comerciais e Fazenda Pública da Comarca de Cruz das Almas"," almas | relativos  | feitos,publica | comarca,relacoes | comerciais | consumo,fazenda | civeis | vara"
" ALMIRANTE TAMANDARÉ - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," almirante | acidentes,extrajudicial  | foro,juventude | corregedoria,trabalho | familia,registros | infancia | publicos,sucessoes | vara"
"ALMIRANTE TAMANDARÉ - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," almirante | extrajudicial  | foro,juventude | corregedoria | familia,registros | infancia | publicos,sucessoes | vara"
"JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA DA COMARCA DE SÃO GONÇALO DO AMARANTE", amarante | criminal  | publica | comarca | especial | fazenda | civel | juizado
"2ª VARA DA FAZENDA PÚBLICA ESTADUAL, MUNICIPAL, REGISTROS PÚBLICOS, MEIO AMBIENTE E EXECUÇÕES FISCAIS - CACHOEIRO DE ITAPEMIRIM"," ambiente | municipal  | fiscais,publica | estadual | execucoes,registros | fazenda | publicos | vara"
"1ª VARA DA FAZENDA PÚBLICA ESTADUAL, MUNICIPAL, REGISTROS PÚBLICOS, MEIO AMBIENTE E EXECUÇÕES FISCAIS - CACHOEIRO DE ITAPEMIRIM"," ambiente | municipal  | fiscais,publica | estadual | execucoes,registros | fazenda | publicos | vara"
"VARA CÍVEL, DA FAZENDA PÚBLICA ESTADUAL, MUNICIPAL, DE REGISTROS PÚBLICOS E DE MEIO AMBIENTE - VIANA"," ambiente | municipal  | publica | estadual | registros | fazenda | civel,publicos | vara"
"VARA DA FAZENDA PÚBLICA ESTADUAL E MUNICIPAL, REGISTROS PÚBLICOS E MEIO AMBIENTE - LINHARES", ambiente | municipal  | publica | estadual | registros | fazenda | publicos | vara
